"Antwort ID","Datum Abgeschickt","Letzte Seite","Start-Sprache","Zufallsgeneratorstartwert","Datum gestartet","Datum letzte Aktivität","   Liebe Studierende,  im Folgenden bitten wir Sie, uns bei einer Masterarbeit zu unterstützen und den Fragebogen zur digitalen Messwerterfassung vollständig und ehrlich auszufüllen. Wir möchten mit diesem Fragebogen Ihre Einstellungen und Erfahrungen zu digitaler Messwerterfassung erheben. Die Bearbeitung wird nicht länger als zehn Minuten in Anspruch nehmen.  Selbstverständlich bleibt dieser Fragebogen anonym. Für die Zuordnung von Vorher- und Nachher- Fragebogen bitten wir Sie, sich einen identischen Code nach dem u.a. Muster auszudenken.    Beispiel:  Vorname deines Vaters: Wolfgang  Vorname deiner Mutter: Susanne  Geburtstag: 17.03.1997 Generierter Code: WoSu17        Vielen Dank für Ihre Unterstützung!  Ben Münch &amp; Prof. Oliver Tepner     Geben Sie Ihren Code ein: ","In welchem Fachsemester studieren Sie? ","Kreuzen Sie an. [Ich nutze regelmäßig digitale Medien.]","Kreuzen Sie an. [Ich nutze digitale Medien, damit ich Zugang zu sozialen Netzwerken oder Messenger-Diensten erhalte (z.B. Facebook, WhatsApp...).	]","Kreuzen Sie an. [Ich nutze digitale Medien, um im Lehramtsstudium Aufgaben mit Hilfe von Programmen (z.B. Excel, ...) zu erledigen.]","Kreuzen Sie an. [Ich nutze digitale Medien zur Erstellung von Erklär- &amp; Lernvideos.]","Kreuzen Sie an. [Ich habe bereits während meiner Schulzeit / universitären Ausbildung in naturwissenschaftlichen Fächern mit digitalen Messwerterfassungssystemen gearbeitet.]","Kreuzen Sie an. [Ich habe bereits mit Microcontrollern und dazugehörigen Sensoren während meiner Schulzeit/meinem Studium gearbeitet.]","Kreuzen Sie an. [Ich nutze digitale Medien zur Erstellung von Podcasts (Audio, Video) in meinem Lehramtsstudium.]","Kreuzen Sie an. [Ich nutze digitale Medien zur Videobearbeitung.]","Kreuzen Sie an. [Ich habe bereits Erfahrung im Programmieren.]","Kreuzen Sie an. [Während meiner Schulzeit habe ich das Fach Informatik in der Oberstufe belegt.]","Kreuzen Sie an. [Während meines Lehramtsstudiums habe ich das Fach Informatik belegt.]","Kreuzen Sie an. [Ich schätze mich im Umgang mit digitalen Medien als sicher ein.]","Kreuzen Sie an. [Ich traue mir die Planung von Unterrichtsstunden im Fach Chemie, in denen digitale Medien verwendet werden, zu.]","Kreuzen Sie an. [Ich bin mir sicher, sensorbasierte Experimente (z.B. Lego Mindstorms, Arduino etc.) im Unterricht realisieren zu können.]","Kreuzen Sie an. [Digitale Medien spielen für den Chemieunterricht eine große Rolle.]","Kreuzen Sie an. [Digitale Medien sind fester Bestandteil des Lehren und Lernens.]","Kreuzen Sie an. [Durch den Einsatz digitaler Medien können Schüler:innen besser zum Lernen motiviert werden.]","Kreuzen Sie an. [Der Einsatz von digitalen Medien in der Schule sorgt dafür, dass Kinder gut auf das Berufsleben vorbereitet werden.]","Kreuzen Sie an. [Das Lernen mit digitalen Medien ist eine effiziente Form des Lernens.]","Kreuzen Sie an. [Mit digitalen Medien kann ich Unterricht adressatengerechter planen und anpassen.]","Kreuzen Sie an. [Die Verwendung digitaler Medien im Unterricht ermöglicht eine Verknüpfung mit der Alltagswelt der Schüler:innen.]","Kreuzen Sie an. [Ich mag es, mich in die Bedienung digitaler Medien (z.B. Programme) für den Unterricht einzuarbeiten.]","Kreuzen Sie an. [Mir fehlt manchmal das nötige Wissen, um digitale Medien in meine Unterrichtsplanungen einzubinden.]","Kreuzen Sie an. [Es fällt mir schwer, Experimente mit Hilfe von Messwerterfassungssystemen im Unterricht durchzuführen.]","Kreuzen Sie an. [Programmieren im Kontext des Chemieunterrichts schreckt mich eher ab.]"
"12","2021-11-29 09:29:29","3","de","1355598","2021-11-29 09:25:26","2021-11-29 09:29:29","JoSi23","3","trifft überwiegend zu","trifft überwiegend zu","trifft teilweise bis überwiegend zu","trifft kaum zu","trifft kaum zu","trifft gar nicht zu","trifft gar nicht zu","trifft gar nicht zu","trifft gar nicht zu","trifft gar nicht zu","trifft gar nicht zu","trifft teilweise bis überwiegend zu","trifft teilweise bis überwiegend zu","trifft kaum bis teilweise zu","trifft überwiegend zu","trifft überwiegend zu","trifft überwiegend zu","trifft überwiegend zu","trifft teilweise bis überwiegend zu","trifft überwiegend zu","trifft überwiegend zu","trifft teilweise bis überwiegend zu","trifft völlig zu","trifft völlig zu","trifft völlig zu"
"13","2021-11-29 09:28:15","3","de","480429202","2021-11-29 09:25:30","2021-11-29 09:28:15","HeIs14","5","trifft überwiegend zu","trifft teilweise bis überwiegend zu","trifft teilweise bis überwiegend zu","trifft völlig zu","trifft kaum bis teilweise zu","trifft kaum bis teilweise zu","trifft gar nicht zu","trifft teilweise bis überwiegend zu","trifft teilweise bis überwiegend zu","trifft gar nicht zu","trifft gar nicht zu","trifft teilweise bis überwiegend zu","trifft teilweise bis überwiegend zu","trifft kaum zu","trifft überwiegend zu","trifft teilweise bis überwiegend zu","trifft teilweise bis überwiegend zu","trifft teilweise bis überwiegend zu","trifft teilweise bis überwiegend zu","trifft teilweise bis überwiegend zu","trifft überwiegend zu","trifft teilweise bis überwiegend zu","trifft kaum bis teilweise zu","trifft kaum bis teilweise zu","trifft überwiegend zu"
"14","2021-11-29 09:30:10","3","de","1536417997","2021-11-29 09:25:57","2021-11-29 09:30:10","GeCh23","1","trifft völlig zu","trifft völlig zu","trifft überwiegend zu","trifft gar nicht zu","trifft teilweise bis überwiegend zu","trifft kaum bis teilweise zu","trifft gar nicht zu","trifft kaum zu","trifft gar nicht zu","trifft gar nicht zu","trifft gar nicht zu","trifft überwiegend zu","trifft überwiegend zu","trifft teilweise bis überwiegend zu","trifft überwiegend zu","trifft völlig zu","trifft überwiegend zu","trifft überwiegend zu","trifft überwiegend zu","trifft teilweise bis überwiegend zu","trifft teilweise bis überwiegend zu","trifft teilweise bis überwiegend zu","trifft kaum bis teilweise zu","trifft kaum bis teilweise zu","trifft kaum bis teilweise zu"
"15","2021-11-29 09:31:50","3","de","1216505416","2021-11-29 09:26:11","2021-11-29 09:31:50","FrGu03","6","trifft völlig zu","trifft völlig zu","trifft völlig zu","trifft überwiegend zu","trifft kaum zu","trifft gar nicht zu","trifft gar nicht zu","trifft teilweise bis überwiegend zu","trifft kaum zu","trifft gar nicht zu","trifft gar nicht zu","trifft teilweise bis überwiegend zu","trifft teilweise bis überwiegend zu","trifft gar nicht zu","trifft teilweise bis überwiegend zu","trifft teilweise bis überwiegend zu","trifft überwiegend zu","trifft teilweise bis überwiegend zu","trifft teilweise bis überwiegend zu","trifft teilweise bis überwiegend zu","trifft teilweise bis überwiegend zu","trifft kaum bis teilweise zu","trifft teilweise bis überwiegend zu","trifft kaum bis teilweise zu","trifft völlig zu"
"16","2021-11-29 09:29:11","3","de","446849368","2021-11-29 09:27:01","2021-11-29 09:29:11","AlIn01","3","trifft völlig zu","trifft völlig zu","trifft völlig zu","trifft kaum bis teilweise zu","trifft kaum zu","trifft kaum zu","trifft gar nicht zu","trifft kaum zu","trifft kaum zu","trifft gar nicht zu","trifft gar nicht zu","trifft teilweise bis überwiegend zu","trifft teilweise bis überwiegend zu","trifft kaum zu","trifft überwiegend zu","trifft überwiegend zu","trifft überwiegend zu","trifft überwiegend zu","trifft überwiegend zu","trifft überwiegend zu","trifft überwiegend zu","trifft kaum bis teilweise zu","trifft überwiegend zu","trifft überwiegend zu","trifft teilweise bis überwiegend zu"
"17","","","de","685216558","2021-11-29 09:29:30","2021-11-29 09:29:30","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18","","","de","792834254","2021-11-29 09:31:41","2021-11-29 09:31:41","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19","2021-11-29 09:37:36","3","de","1836182584","2021-11-29 09:32:53","2021-11-29 09:37:36","AnAn31","5.","trifft völlig zu","trifft überwiegend zu","trifft überwiegend zu","trifft kaum bis teilweise zu","trifft kaum zu","trifft gar nicht zu","trifft gar nicht zu","trifft kaum zu","trifft kaum zu","trifft gar nicht zu","trifft gar nicht zu","trifft teilweise bis überwiegend zu","trifft kaum bis teilweise zu","trifft gar nicht zu","trifft kaum bis teilweise zu","trifft überwiegend zu","trifft teilweise bis überwiegend zu","trifft überwiegend zu","trifft überwiegend zu","trifft teilweise bis überwiegend zu","trifft überwiegend zu","trifft teilweise bis überwiegend zu","trifft teilweise bis überwiegend zu","trifft überwiegend zu","trifft teilweise bis überwiegend zu"
"20","2021-12-10 09:23:43","3","de","1579350816","2021-12-10 09:19:42","2021-12-10 09:23:43","09972","3","trifft völlig zu","trifft völlig zu","trifft überwiegend zu","trifft gar nicht zu","trifft kaum zu","trifft gar nicht zu","trifft gar nicht zu","trifft gar nicht zu","trifft gar nicht zu","trifft gar nicht zu","trifft gar nicht zu","trifft teilweise bis überwiegend zu","trifft kaum bis teilweise zu","trifft kaum zu","trifft überwiegend zu","trifft überwiegend zu","trifft überwiegend zu","trifft überwiegend zu","trifft überwiegend zu","trifft überwiegend zu","trifft überwiegend zu","trifft überwiegend zu","trifft teilweise bis überwiegend zu","trifft völlig zu","trifft völlig zu"
"21","","","de","491620452","2021-12-10 10:46:10","2021-12-10 10:46:10","","","","","","","","","","","","","","","","","","","","","","","","","","",""

